日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000010,*ST美丽,3.1,3.42,3.1,3.42,28796815,92050426.34
2019-04-29,'000010,*ST美丽,3.26,3.26,3.26,3.26,1234100,4023166.0
2019-04-26,'000010,*ST美丽,3.43,3.43,3.43,3.43,786200,2696666.0
2019-04-25,'000010,美丽生态,0.0,0.0,0.0,0.0,0,0.0
2019-04-24,'000010,美丽生态,3.61,3.63,3.52,3.61,4673734,16806477.73
2019-04-23,'000010,美丽生态,3.67,3.67,3.57,3.57,7535115,27262841.19
2019-04-22,'000010,美丽生态,3.74,3.81,3.69,3.74,7704183,28922492.44
2019-04-19,'000010,美丽生态,3.69,3.71,3.63,3.69,5593653,20521762.91
2019-04-18,'000010,美丽生态,3.74,3.76,3.67,3.68,6193022,22985255.16
2019-04-17,'000010,美丽生态,3.8,3.8,3.7,3.76,6917654,25973850.0
2019-04-16,'000010,美丽生态,3.75,3.79,3.64,3.78,7583416,28187142.92
2019-04-15,'000010,美丽生态,3.84,3.9,3.77,3.78,11179630,43010805.81
2019-04-12,'000010,美丽生态,3.76,3.86,3.62,3.81,13195293,49473199.89
2019-04-11,'000010,美丽生态,3.81,3.83,3.7,3.76,6804539,25756988.96
2019-04-10,'000010,美丽生态,3.82,3.85,3.72,3.81,6486727,24611271.26
2019-04-09,'000010,美丽生态,3.77,3.86,3.66,3.83,9517238,36063167.42
2019-04-08,'000010,美丽生态,3.77,3.91,3.66,3.76,10544579,39790320.51
2019-04-04,'000010,美丽生态,3.65,3.87,3.64,3.76,11123398,41941771.6
2019-04-03,'000010,美丽生态,3.63,3.66,3.6,3.64,5249899,19109743.38
2019-04-02,'000010,美丽生态,3.67,3.69,3.6,3.63,6415076,23350399.15
2019-04-01,'000010,美丽生态,3.55,3.68,3.5,3.66,8252008,29848078.82
